tibetan_term,translation,category,context,commentary_reference,entity_category
[placeholder],[no translation available],[unknown],[context unavailable],[no reference available],
དགེ་བ,善业,伦理学术语,佛教中指导向善果与解脱的行为，在偈颂中描述为微弱的力量,从源文分析：在藏文原文中为དགེ་བ，表示善行或善业，是佛教伦理学的基本概念，此处与恶业形成对比，强调其力量相对较弱。,
ཉམ་ཆུང,微弱,描述性术语,形容善业力量不足，在句中修饰善业,从源文分析：藏文ཉམ་ཆུང意为'弱小的'或'力量小的'，在此处用来描述善业的特性，表明其抵抗恶业的能力有限。,
སྡིག་པ,恶业,伦理学术语,佛教中指导致痛苦果报的行为，在偈颂中被描述为力量强大难以忍受,从源文分析：藏文སྡིག་པ对应于梵文'papa'，指负面行为产生的业力，在此文中被描述为力量大且难以抵抗。,
སྟོབས་ཆེན,力大,描述性术语,形容恶业力量强大，在句中修饰恶业,从源文分析：藏文སྟོབས་ཆེན直译为'大力'或'力量大的'，此处用来强调恶业的强大影响力，与善业的微弱形成鲜明对比。,
མི་བཟད་པ,难忍,描述性术语,形容恶业的后果难以忍受，在句中进一步修饰恶业的性质,从源文分析：藏文མི་བཟད་པ意为'不可忍受的'或'难以承受的'，词根བཟད与忍耐有关，前缀མི表示否定。,
རྫོགས་པའི་བྱང་ཆུབ་སེམས,菩提心,哲学概念,大乘佛教核心概念，为利益一切众生而追求觉悟的发心，在偈颂中被描述为能够克服恶业的特殊力量,从源文分析：藏文原文中རྫོགས་པའི་('圆满的')修饰བྱང་ཆུབ་སེམས('菩提心')，表示完全、圆满的菩提心，在译文中简化为'殊胜菩提心'，强调其特别的力量。,
ཟིལ་གྱིས་གནོན་པར,胜之,佛教术语,指以胜伏的方式压制或战胜，在偈颂中表达菩提心能战胜恶业的能力,从源文分析：藏文ཟིལ་གྱིས་གནོན་པར是佛教文献中常见的表达，字面意为'以光辉压制'或'以威力胜过'，在此处翻译为简洁的'胜之'，保持了诗偈的韵律。,
དགེ་གཞན,善法,伦理学术语,指菩提心以外的其他善行或善法,从源文分析：藏文དགེ་གཞན直译为'其他善'或'其他善行'，在译文中采用'善法'这一更广泛的佛教术语，涵盖一切善行善举。,
དལ་འབྱོར,暇满人身,佛教术语,指获得珍贵人身和修行条件的状态，是佛教中强调的修行基础条件,从源文分析：词汇由'དལ'(闲暇)和'འབྱོར'(富足)组成，在藏传佛教中指人身难得和具备修行条件,
རྙེད་པར་དཀའ,难得,佛教表述,形容暇满人身获得不易，强调人身珍贵性,从源文分析：'རྙེད་པར'是'获得'的意思，与'ཤིན་ཏུ་དཀའ'(极其困难)连用，表达极度难得之意,
སྐྱེས་བུའི་དོན,义利,佛教哲学,指人生的真正意义或目的，在佛教中特指修行与解脱,从源文分析：由'སྐྱེས་བུ'(人)和'དོན'(意义、目的)组成，在译文中简化为'义利'，指人生真正价值,
ཕན་པ,修善,佛教实践,指有利益的行为，在译文中特指修行善法,从源文分析：原意为'利益'，在译文中转译为'修善'，更符合佛教修行语境,
ཕྱིས,后世,佛教时间观念,指未来世、来世，佛教轮回观念中的概念,从源文分析：时间副词，表示'以后，将来'，译文中表达为'后世'，强调轮回转世的概念,
ཡང་དག་འབྱོར་པར,再相逢,佛教教义,指再次获得暇满人身的机会，表达轮回中再次获得修行条件的可能性,从源文分析：由'ཡང་དག'(真实、正确)和'འབྱོར་པར'(具足)组成，原意为'真正具足'，在诗意翻译中表达为'再相逢',
མཚན་མོ་,夜空,常用词汇,在这首偈颂中，指代黑暗的夜晚，是比喻的场景设定。,从源文分析：作为比喻的主要元素，用于建立整个偈颂的形象场景，在第一行中与'མུན་ནག་'(漆黑)和'སྤྲིན་རུམ་'(乌云密布)共同构成完整的意象。,
གློག་འགྱུ་,闪电,常用词汇,比喻中的关键元素，表示在黑暗中突然出现的光明。,从源文分析：在文本第二行中作为比喻的核心，与'སྐད་ཅིག་'(刹那)搭配使用，强调光明出现的短暂性。,
སྐད་ཅིག་,刹那间,佛教术语,佛教术语，表示极短暂的时间单位，描述闪电出现的瞬间性。,从源文分析：佛教时间概念，强调现象的无常和转瞬即逝，在此作为时间副词修饰闪电显现的过程。,
རབ་སྣང་,光明,描述性术语,指闪电照亮黑暗的现象，在比喻中代表智慧的显现。,从源文分析：与'སྟོན་པ་'(显现)连用，表达光明显现的动作，是整个比喻的关键部分。,
སངས་རྒྱས་,佛陀,佛教人物,佛教中的觉悟者，此处指佛陀的力量是智慧和福德生起的条件。,从源文分析：作为第三行的主体，与'མཐུ་ཡིས་'(威神力)连用，表示佛陀的加持力是偈颂后半部分的核心因素。,人物
མཐུ་ཡིས་,威神力,佛教教义,佛陀的特殊能力或加持力，能够使世间产生智慧和福德。,从源文分析：由'མཐུ་'(力量)加工具格助词'ཡིས་'构成，表示通过佛陀力量实现某种效果，是因果关系的关键连接点。,
འཇིག་རྟེན་,世间,佛教宇宙观,佛教宇宙观中的有情世界，指众生所居住的环境。,从源文分析：佛教术语，在第四行中作为主要场景，表示佛陀力量影响的对象范围。,
བསོད་ནམས་,福德,佛教教义,佛教术语，指善业所生的功德或积极果报。,从源文分析：与'བློ་གྲོས་'(智慧)并列使用，表示在佛陀力量影响下世间可能生起的两种正面品质之一。,
བློ་གྲོས་,智慧,佛教教义,佛教中的明晰认知能力，能够如实了知诸法实相。,从源文分析：作为佛教修行中的重要品质，与'བསོད་ནམས་'(福德)一起构成修行的两大支柱，在偈颂中作为佛陀加持的结果出现。,
ཐང་འགའ་འབྱུང་,偶然瞬间生起,描述性术语,描述智慧和福德并非常态性存在，而是在特定条件下偶尔显现。,从源文分析：由'ཐང་འགའ་'(偶然、有时)和'འབྱུང་'(生起、出现)组成，表达现象的非持续性特质，呼应前文闪电的短暂性。,
ཇི་ལྟར་...ལྟར,如同...同样,修辞结构,整首偈颂的比喻结构，将闪电照亮夜空比作佛陀力量引发智慧。,从源文分析：藏文典型的比喻句式结构，第一行以'ཇི་ལྟར་'(如同)开始，第二行以'ལྟར'(一样)结束，第三行以'དེ་བཞིན་'(同样)承接，形成完整的对比结构。,
སྔོན་ཆད་མ་བྱུང་བ,新奇,修辞术语,指前所未有或从未出现过的内容，在此文中表示作者认为自己的著作并无创新之处,从源文分析：该词由否定词'མ་'与动词'བྱུང་'组合而成，表示'未曾出现的'，在译文中简化为'新奇'以符合汉语表达习惯,
སྡེབ་སྦྱོར,文采,文学术语,指诗文创作的修辞技巧，在此处表示作者谦虚地表明自己不精通文学创作技巧,从源文分析：藏文'སྡེབ་སྦྱོར'特指作诗作文的技巧，包括韵律与文体修饰，在汉译中采用'文采'一词简洁表达,
མཁས་པ,才,描述性词汇,指在某方面精通或有才能，在此处与'སྡེབ་སྦྱོར'(文采)连用，表示不具备文学创作才能,从源文分析：原文中'མཁས་པ'意为'精通的'，在译文中转化为名词'才'，与'文采'组合为'文采之才'，符合汉语表达习惯,
གཞན་དོན,利益他人,佛教哲学术语,佛教中重要的概念，指利他的行为或意图，大乘佛教修行的核心之一,从源文分析：'གཞན་དོན'直译为'利他'，是大乘佛教的核心概念之一，译文扩展为'利益他人'使意义更加明确,
བསམ་པ,心,心理术语,指思想、意图或心念，在此处表示作者的创作意图,从源文分析：藏文'བསམ་པ'有'意图'、'想法'之意，在译文中简化为'心'字，与前文'无'字组合成'无心'表达没有意图之意,
རང་གི་ཡིད,自心,佛教心理学术语,指自己的心意或心识，佛教修行常强调观察与净化自心,从源文分析：'རང་གི་'意为'自己的'，'ཡིད'意为'心意'，是指心识的载体，合译为'自心'，保持了佛教术语的专业性,
བསྒོམ,修习,佛教实修术语,佛教术语，指通过反复思维或禅修来培养特定心态或智慧的修行方法,从源文分析：'བསྒོམ'是佛教中重要的修行术语，指心智的训练过程，包含禅修、熟悉等含义，汉译为'修习'贴合原意,
བརྩམས,著,文学术语,指创作或撰写文章、论著等，此处表示作者撰写此著作的行为,从源文分析：藏文'བརྩམས'是'རྩོམ'(创作)的过去式形式，在译文中采用古汉语'著'字简洁表达创作之意,
བདེ་གཤེགས,如来,佛教术语,佛陀的称号之一，意为'善逝'，指已达到完美觉悟状态的佛,从源文分析：此词是佛陀十大称号之一，在此处用于指称具有圆满智慧的佛陀，原文'བདེ་གཤེགས་'被翻译为中文的'如来',佛陀
